,CoinName,0,1,class
6,Dash,-20.410872,10.643198,1
16,Spreadcoin,-10.372929,17.219843,1
33,CryptCoin,-10.482178,17.779818,1
45,FeatherCoin,-5.667305,3.4351902,1
50,HyperStake,-13.949753,11.818848,1
52,IOCoin,-20.652462,10.493742,1
69,Orbitcoin,-6.137787,3.0785398,1
76,SuperCoin,-13.949976,11.818802,1
77,SyncCoin,-20.835016,11.151725,1
82,TorCoin,-20.334791,11.132766,1
86,UroCoin,-10.75284,17.566715,1
93,X11 Coin,-19.948673,10.938647,1
116,Ucoin,-13.949984,11.818762,1
118,CypherPunkCoin,-4.8291254,8.470391,1
126,IslaCoin,-20.821655,11.148176,1
128,MarsCoin ,-10.825497,16.798496,1
132,BowsCoin,-10.92411,17.298004,1
133,Squall Coin,-8.939244,10.399091,1
142,MindCoin,-10.951095,17.161652,1
148,Hitcoin,-21.283949,7.880415,1
155,Adzcoin,-10.085453,16.98687,1
159,EuropeCoin,-19.857025,9.346649,1
165,BolivarCoin,-10.728923,17.592554,1
166,Ratecoin,-20.829199,9.444822,1
170,BitSend,-20.097689,9.9477415,1
177,PizzaCoin,-9.843121,17.671398,1
178,Lutetium Coin,-13.949931,11.818767,1
180,GoldBlocks,-19.802212,10.458371,1
185,MustangCoin,-21.173096,10.956039,1
197,Halloween Coin,-20.564621,7.8273997,1
207,InsaneCoin,-21.327425,10.02134,1
209,ArtexCoin,-10.211148,17.150908,1
211,XenixCoin,-20.374874,11.158294,1
215,Kurrent,-10.151834,16.495964,1
217,Eternity,-19.736895,10.489524,1
220,Stakenet,-11.404042,18.65847,1
223,Enigma,-21.292347,10.813634,1
230,LiteCreed,-4.8907504,8.446002,1
236,KushCoin,-19.935259,10.923025,1
238,PacCoin,-10.651317,15.981437,1
245,VaultCoin,-9.504108,16.901154,1
252,VirtacoinPlus,-19.899042,10.20503,1
253,TajCoin,-43.149857,45.835796,1
254,Impact,-20.692833,9.470929,1
257,HappyCoin,-20.32148,10.054008,1
260,Condensate,-19.84529,8.818692,1
265,GoldReserve,-21.252817,9.908034,1
282,DigitalPrice,-9.572327,17.377907,1
288,ArcticCoin,-9.65407,17.502851,1
289,DAS,-10.253471,17.847641,1
297,Onix,-9.503262,16.89959,1
300,Monoeci,-20.839184,10.610107,1
315,Regalcoin,-21.372448,10.424084,1
317,TrezarCoin,-6.137903,3.0785918,1
318,Elements,-10.565735,16.64217,1
320,VIVO Coin,-5.6673017,3.4351904,1
334,Pura,-10.004016,16.479628,1
335,Innova,-5.6673026,3.4351902,1
337,GoByte,-5.667302,3.4351902,1
338,Magnet,-20.502298,9.7111025,1
349,AC3,-9.674055,16.635988,1
354,PhantomX,-20.814804,9.9531,1
356,Sucre,-10.248669,17.849606,1
357,SparksPay,-5.667301,3.4351907,1
359,GunCoin,-5.6673083,3.4351892,1
363,Monkey Project,-13.949983,11.818761,1
364,Pioneer Coin,-10.902566,16.903072,1
366,Interzone,-11.46857,3.532539,1
382,Crypto Improvement Fund,-9.876622,16.511358,1
383,Stipend,-11.502269,3.4978924,1
385,Pushi,-21.399654,10.496078,1
403,FuturoCoin,-9.508382,17.26307,1
411,Bitcoin Incognito,-8.891322,10.362263,1
431,Axe,-10.553868,16.63756,1
444,ARENON,-13.949983,11.818795,1
445,EUNO,-20.527842,10.2344885,1
450,PAXEX,-13.949986,11.818789,1
451,Azart,-9.927419,17.710133,1
461,Junson Ming Chan Coin,-13.947006,11.81979,1
464,Universal Molecule,-2.5021474,12.722746,1
465,Lithium,-2.502148,12.722746,1
475,SLICE,-4.829123,8.470389,1
476,Dash Platinum,-13.949985,11.818761,1
480,Award,-19.83616,9.244645,1
484,Insane Coin,-21.275822,9.923383,1
488,TruckCoin,-19.58642,9.797755,1
489,UFO Coin,-5.6660438,3.435201,1
491,BlakeCoin,-2.5021613,12.722697,1
495,PinkCoin,-19.929428,8.191194,1
499,Piggy Coin,-20.371408,7.847404,1
505,CapriCoin,-20.259842,9.117545,1
510,Creditbit ,-9.081435,18.685858,1
515,FriendshipCoin,-6.137897,3.0785983,1
